year,month,service,departure_station,arrival_station,journey_time_avg,total_num_trips,num_of_canceled_trains,num_late_at_departure,avg_delay_late_at_departure,avg_delay_all_departing,num_arriving_late,avg_delay_late_on_arrival,avg_delay_all_arriving,delay_cause_external_cause,delay_cause_rail_infrastructure,delay_cause_traffic_management,delay_cause_rolling_stock,delay_cause_station_management,delay_cause_travelers,num_greater_15_min_late,avg_delay_late_greater_15_min,num_greater_30_min_late,num_greater_60_min_late,departure_region,arrival_region,pct_cancelled
2017,1,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,63.1299303944,434,3,66,18.1275252525,3.64605568445,88.0,16.8501893939,4.01040216551,0.224137931034,0.344827586207,0.172413793103,0.206896551724,0.0,0.051724137931,26.0,36.9038461538,8.0,5.0,CVDL,IDF,0.0069124423963133645
2017,1,National,VALENCE ALIXAN TGV,PARIS LYON,132.636363636,273,9,62,13.1685483871,3.87203282828,31.0,30.5430107527,1.75542929293,0.217391304348,0.260869565217,0.173913043478,0.347826086957,0.0,0.0,26.0,34.0,11.0,2.0,ARA,IDF,0.03296703296703297
2017,7,National,PARIS LYON,DIJON VILLE,95.8430913349,429,2,64,25.8125,3.97658079625,63.0,27.8253968254,4.14988290398,0.211538461538,0.0,0.0961538461538,0.634615384615,0.0384615384615,0.0192307692308,41.0,36.7715447,18.0,6.0,IDF,BFC,0.004662004662004662
2017,7,National,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.6262135922,206,0,20,12.6,1.21844660194,41.0,11.0487804878,2.48058252427,0.275862068966,0.206896551724,0.206896551724,0.241379310345,0.0,0.0689655172414,7.0,26.4809524,2.0,0.0,IDF,BFC,0.0
2017,7,National,PARIS LYON,NICE VILLE,341.674911661,287,4,54,21.2407407407,4.07067137809,88.0,39.7840909091,15.2650176678,0.302325581395,0.116279069767,0.267441860465,0.174418604651,0.093023255814,0.046511627907,88.0,39.769697,54.0,14.0,IDF,PACA,0.013937282229965157
2017,7,National,PARIS LYON,PERPIGNAN,305.741463415,205,0,36,26.1388888889,4.42926829268,44.0,52.5227272727,13.2341463415,0.272727272727,0.318181818182,0.113636363636,0.272727272727,0.0227272727273,0.0,44.0,52.5185606,26.0,12.0,IDF,O,0.0
2017,7,National,PERPIGNAN,PARIS LYON,306.080851064,235,0,43,14.6046511628,3.16170212766,47.0,43.4893617021,9.80425531915,0.439024390244,0.0243902439024,0.317073170732,0.0975609756098,0.0,0.121951219512,47.0,43.5255319,22.0,8.0,O,IDF,0.0
2017,7,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.722222222,776,20,203,18.4532019704,5.53174603175,195.0,36.1692307692,10.8399470899,0.141935483871,0.451612903226,0.129032258065,0.225806451613,0.0193548387097,0.0322580645161,143.0,44.859324,68.0,29.0,NAq,IDF,0.02577319587628866
2017,7,National,LAVAL,PARIS MONTPARNASSE,88.3125,209,1,28,19.3928571429,3.49038461538,60.0,24.8666666667,7.68269230769,0.0857142857143,0.314285714286,0.285714285714,0.142857142857,0.114285714286,0.0571428571429,22.0,53.6159091,10.0,7.0,PDLL,IDF,0.004784688995215311
2017,7,National,NANTES,PARIS MONTPARNASSE,130.284836066,498,10,82,17.487804878,3.63319672131,75.0,43.12,8.14754098361,0.172413793103,0.413793103448,0.241379310345,0.120689655172,0.0,0.051724137931,52.0,56.7153846,32.0,17.0,PDLL,IDF,0.020080321285140562
2017,7,National,PARIS MONTPARNASSE,POITIERS,94.3284823285,492,11,61,30.3278688525,3.9106029106,105.0,31.7142857143,8.36382536383,0.09375,0.479166666667,0.125,0.208333333333,0.0625,0.03125,65.0,44.5494872,29.0,12.0,IDF,NAq,0.022357723577235773
2017,7,National,QUIMPER,PARIS MONTPARNASSE,225.937219731,231,8,8,12.875,0.57399103139,24.0,53.7916666667,8.17937219731,0.15,0.65,0.05,0.15,0.0,0.0,23.0,55.515942,13.0,7.0,B,IDF,0.03463203463203463
2017,7,National,PARIS MONTPARNASSE,TOULOUSE MATABIAU,260.960674157,181,3,42,21.9047619048,5.51123595506,53.0,46.9433962264,15.8820224719,0.169811320755,0.377358490566,0.150943396226,0.22641509434,0.0566037735849,0.0188679245283,53.0,46.9286164,24.0,9.0,IDF,O,0.016574585635359115
2017,7,National,TOULOUSE MATABIAU,PARIS MONTPARNASSE,262.690217391,189,5,23,16.8695652174,2.09782608696,38.0,34.8421052632,10.1467391304,0.129032258065,0.548387096774,0.0,0.290322580645,0.0,0.0322580645161,38.0,34.8118421,14.0,3.0,O,IDF,0.026455026455026454
2017,7,National,PARIS NORD,ARRAS,49.5018587361,274,5,12,19.0833333333,1.11524163569,24.0,15.5833333333,2.05576208178,0.375,0.0625,0.0625,0.3125,0.1875,0.0,8.0,32.0520833,3.0,0.0,IDF,HDF,0.01824817518248175
2017,7,National,MONTPELLIER,LYON PART DIEU,110.771513353,343,6,36,18.1388888889,2.51038575668,84.0,29.7261904762,9.79525222552,0.258620689655,0.206896551724,0.241379310345,0.172413793103,0.051724137931,0.0689655172414,66.0,34.4800505,23.0,11.0,O,IDF,0.01749271137026239
2017,7,National,MARSEILLE ST CHARLES,LILLE,296.64673913,187,3,19,12.4736842105,1.71195652174,76.0,28.7631578947,13.8913043478,0.194444444444,0.180555555556,0.430555555556,0.111111111111,0.0277777777778,0.0555555555556,76.0,28.7894737,26.0,4.0,PACA,HDF,0.016042780748663103
2017,7,International,PARIS LYON,ZURICH,224.140939597,149,0,30,28.5333333333,6.04697986577,20.0,45.65,6.65100671141,0.3,0.1,0.05,0.5,0.05,0.0,20.0,45.5958333,12.0,6.0,IDF,SUISSE,0.0
2017,7,International,ZURICH,PARIS LYON,251.402684564,149,0,3,6.0,1.0,7.0,29.4285714286,1.54362416107,0.285714285714,0.0,0.571428571429,0.142857142857,0.0,0.0,6.0,32.0972222,2.0,1.0,SUISSE,IDF,0.0
2015,3,National,METZ,PARIS EST,85.4469178082,294,2,37,13.3513513514,2.3904109589,50.0,18.14,3.29452054795,0.2,0.155555555556,0.555555555556,0.0888888888889,0.0,0.0,22.0,29.3636364,8.0,0.0,GE,IDF,0.006802721088435374
2015,3,National,PARIS EST,REIMS,47.1889400922,217,0,5,17.4,0.47465437788,8.0,20.625,1.12903225806,0.625,0.25,0.0,0.125,0.0,0.0,5.0,27.8,1.0,0.0,IDF,GE,0.0
